"artist","track","plays","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_s","liked"
"21 Savage","out for the night - part 2",46,0.593,0.632,"F#",-5.381,"Minor",0.541,0.0133,0,0.64,0.0789,173.369,"4/4",235,1
"21 Savage","pad lock",3,0.959,0.55,"F",-8.012,"Minor",0.197,0.0187,0,0.112,0.798,130.024,"4/4",191,0
"21 Savage","Rap Saved Me",27,0.845,0.399,"C#",-7.509,"Major",0.309,0.00525,0.74,0.102,0.148,143.049,"4/4",258,1
"21 Savage","Rich Nigga Shit (feat. Young Thug)",43,0.825,0.733,"C#",-5.625,"Minor",0.0969,0.349,0,0.112,0.62,97.974,"4/4",190,1
"21 Savage","RIP Luv",38,0.63,0.399,"F",-9.869,"Minor",0.178,0.105,0.174,0.234,0.0657,183.016,"3/4",214,1
"21 Savage","Run Up the Racks",3,0.825,0.364,"D",-7.635,"Minor",0.121,0.141,0.311,0.195,0.177,153.028,"4/4",190,0
"21 Savage","Runnin",33,0.819,0.626,"A#",-4.574,"Minor",0.202,0.00748,0.101,0.167,0.415,143.01,"4/4",196,1
"21 Savage","Said N Done",6,0.775,0.566,"B",-6.661,"Major",0.283,0.0381,0.000341,0.127,0.479,160.351,"4/4",232,0
"21 Savage","Secret (feat. Summer Walker)",2,0.727,0.496,"F",-10.386,"Minor",0.178,0.0893,0.00011,0.0987,0.504,130.061,"4/4",210,0
"21 Savage","Slidin",7,0.774,0.706,"D",-6.494,"Major",0.355,0.00163,1.28e-06,0.104,0.382,152.891,"4/4",185,0
"21 Savage","Snitches & Rats (feat. Young Nudy)",8,0.821,0.671,"A",-5.893,"Major",0.18,0.00843,8.5e-05,0.0972,0.494,145.953,"4/4",188,1
"21 Savage","Snitches & Rats (Interlude)",5,0.607,0.371,"C#",-14.255,"Minor",0.894,0.742,0.000164,0.403,0.945,102.481,"3/4",57,0
"21 Savage","Spiral",1,0.814,0.659,"D",-4.475,"Major",0.0811,0.00161,0.0254,0.499,0.13,88.521,"4/4",173,0
"21 Savage","Steppin On Niggas",5,0.849,0.635,"G",-4.068,"Major",0.254,0.000608,8.44e-06,0.062,0.798,89.484,"4/4",141,0
"21 Savage","Still Serving",1,0.926,0.544,"F",-6.827,"Major",0.0727,0.413,9.54e-05,0.112,0.656,115.951,"4/4",232,0
"21 Savage","X (feat. Future)",64,0.835,0.413,"C#",-9.81,"Major",0.396,0.373,0.00133,0.101,0.111,149.004,"4/4",259,1
"220 Kid","Stupid Feelings",1,0.715,0.778,"F#",-6.546,"Minor",0.0365,0.0152,0,0.121,0.756,123.954,"4/4",167,0
"22Gz","Twirlanta",1,0.803,0.738,"C",-4.946,"Major",0.294,0.528,0,0.112,0.323,139.948,"4/4",178,0
"24kGoldn","A LOT TO LOSE",1,0.607,0.766,"C#",-5.65,"Major",0.0475,0.193,0,0.131,0.425,160.008,"4/4",181,0
"24kGoldn","CITY OF ANGELS",36,0.686,0.541,"C",-4.993,"Minor",0.0493,0.042,0,0.0675,0.724,120.082,"4/4",112,1
"24kGoldn","Company (feat. Future)",1,0.831,0.727,"G#",-3.657,"Minor",0.169,0.447,0,0.111,0.703,125.068,"4/4",213,0
"24kGoldn","DROPPED OUTTA COLLEGE",2,0.911,0.379,"C",-7.823,"Major",0.412,0.0107,1.69e-06,0.15,0.191,120.044,"4/4",128,0
"24kGoldn","Mood (feat. iann dior)",35,0.701,0.716,"G",-3.671,"Minor",0.0361,0.174,0,0.324,0.732,91.007,"4/4",141,1
"24kGoldn","VALENTINO",39,0.746,0.717,"A",-4.841,"Minor",0.179,0.199,0,0.132,0.523,150.964,"4/4",179,1
"3 Doors Down","Kryptonite",31,0.545,0.865,"B",-5.708,"Minor",0.0286,0.00664,1.1e-05,0.168,0.543,99.009,"4/4",234,1
"30 Seconds to Mars","The Kill",4,0.179,0.912,"E",-3.881,"Minor",0.0791,0.0014,0.000294,0.582,0.289,182.99,"3/4",232,0
