"","artist","track","plays","spotify_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration"
"186","Britney Spears","If U Seek Amy",1,"2hdy9Wt9qp7M7d0U3ossu2",0.717,0.587,"E",-7.296,"Minor",0.0339,0.0192,0,0.0523,0.544,129.954,"4/4",3M 37S
"187","Britney Spears","Toxic",3,"6I9VzXrHxO9rA9A5euc8Ak",0.774,0.838,"F",-3.914,"Minor",0.114,0.0249,0.025,0.242,0.924,143.04,"4/4",3M 19S
"188","Bruno Major","Easily",2,"2k9N4caeCIJLOWwWwssrEM",0.772,0.256,"G",-8.545,"Minor",0.0481,0.491,0.00612,0.144,0.357,118.902,"3/4",3M 30S
"189","Bruno Major","Nothing",14,"2IAR0DziHCjSu16gR4ihvy",0.555,0.27,"D",-15.892,"Major",0.0884,0.931,0.536,0.103,0.274,139.691,"3/4",2M 43S
"190","Bruno Major","The Most Beautiful Thing",2,"5unXHHcSQLGO19RuVqZB6d",0.806,0.362,"G",-10.381,"Major",0.0345,0.535,0.045,0.111,0.42,127.502,"4/4",3M 55S
"191","Brynn Elliott","Tell Me I'm Pretty",1,"4gfqsWnwbhyeXGBtyLTonu",0.746,0.574,"F#",-5.148,"Major",0.0835,0.322,1.12e-06,0.097,0.62,88.973,"4/4",3M 9S
"192","BTS","Permission to Dance",1,"0LThjFY2iTtNdd4wviwVV2",0.702,0.741,"A",-5.33,"Major",0.0427,0.00544,0,0.337,0.646,124.925,"4/4",3M 8S
"193","Bülow","You & Jennifer",4,"0g21KZ1XJuhwexWPLpuEt1",0.752,0.698,"B",-6.53,"Major",0.306,0.52,0,0.211,0.347,132.058,"4/4",2M 39S
"194","BURNOUT SYNDROMES","Fly High!!",1,"1y3Ml1b1c4v3ZdpbWLKD1F",0.468,0.961,"B",-1.434,"Major",0.0727,0.0133,0,0.331,0.354,94.646,"4/4",4M 4S
"195","Caissie Levy","Monster - From ""Frozen: The Broadway Musical""",1,"05om7Ac9m7wKq1rHn4sHQh",0.41,0.457,"C",-5.622,"Major",0.0381,0.214,0,0.108,0.147,91.927,"4/4",3M 43S
"196","Camila Cabello","Consequences - orchestra",3,"1ArLnG0bHaHPXqf08sEKM0",0.547,0.289,"C",-8.131,"Major",0.0348,0.645,0,0.148,0.213,104.851,"3/4",3M 2S
"197","Carly Rae Jepsen","Call Me Maybe",1,"3TGRqZ0a2l1LRblBkJoaDx",0.783,0.58,"G",-6.548,"Major",0.0408,0.0114,2.28e-06,0.108,0.66,120.021,"4/4",3M 13S
"198","Carly Rae Jepsen","Party for One",1,"7KW3XQV5Or5CF57MYVj5h4",0.699,0.633,"F#",-6.547,"Major",0.0362,0.0453,0,0.101,0.458,123.449,"4/4",3M 5S
"199","Carly Rae Jepsen","This Love Isn't Crazy",1,"03o4HPzUwftpgAPNQSuaBS",0.632,0.728,"F#",-5.759,"Minor",0.0604,0.00308,0,0.278,0.252,117.981,"4/4",3M 53S
"200","Carole Shelley","The Wizard and I",1,"7279cZz7RhBAmRHAPraTeV",0.372,0.394,"C",-8.157,"Major",0.0371,0.817,0,0.29,0.293,140.844,"4/4",5M 10S
