"","artist","track","plays","spotify_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration"
"287","Doja Cat","Been Like This",3,"7y3xU9vEC1s8DSuuoSYKih",0.678,0.531,"A#",-5.029,"Major",0.0374,0.126,3.44e-05,0.377,0.176,99.008,"4/4",2M 57S
"288","Doja Cat","Boss Bitch",17,"78qd8dvwea0Gosb6Fe6j3k",0.707,0.955,"A#",-4.593,"Minor",0.222,0.127,0,0.202,0.575,125.989,"4/4",2M 14S
"289","Doja Cat","Bottom Bitch",1,"1L0z2CQKrKJ2spYSMkfim9",0.695,0.825,"F#",-2.891,"Major",0.0359,0.00265,0.000928,0.0723,0.484,160.028,"4/4",3M 18S
"290","Doja Cat","Casual",1,"2tT9weSQUFDWsVgHBYz3G6",0.653,0.632,"A",-6.866,"Minor",0.0993,0.0827,2.96e-06,0.0669,0.323,128.02,"4/4",4M 0S
"291","Doja Cat","Cyber Sex",1,"1ghvzmzpx2nnrbx7wtpMgo",0.917,0.657,"G#",-5.716,"Major",0.0921,0.318,3.62e-06,0.0754,0.818,131.03,"4/4",2M 46S
"292","Doja Cat","Freak",9,"3aA6xB0tOilDDX17fIJ0Bl",0.688,0.716,"G",-5.702,"Major",0.0385,0.0969,0,0.0989,0.373,116.912,"3/4",4M 44S
"293","Doja Cat","Get Into It (Yuh)",8,"0W6I02J9xcqK8MtSeosEXb",0.912,0.655,"G#",-6.029,"Minor",0.162,0.315,3.39e-05,0.0894,0.793,91.942,"4/4",2M 18S
"294","Doja Cat","Go to Town",3,"6iOvnACn4ChlAw4lWUU4dd",0.71,0.71,"C",-2.474,"Major",0.0579,0.0716,1.07e-06,0.206,0.7,169.944,"4/4",3M 38S
"295","Doja Cat","I Don't Do Drugs (feat. Ariana Grande)",4,"0FFsgUoFibYISzMxuGS61W",0.683,0.615,"F",-5.737,"Major",0.0966,0.222,8.25e-06,0.154,0.45,77.014,"4/4",3M 9S
"296","Doja Cat","Imagine",4,"5CC5krEgwJXuoA0F9scOFg",0.82,0.656,"G#",-5.537,"Minor",0.0399,0.209,0.0339,0.124,0.698,143.059,"4/4",2M 28S
"297","Doja Cat","Juicy",22,"7f5trao56t7sB7f14QDTmp",0.785,0.652,"C",-2.607,"Major",0.0668,0.102,0,0.0697,0.484,170.024,"4/4",3M 23S
"298","Doja Cat","Kiss Me More (feat. SZA)",18,"748mdHapucXQri7IAO8yFK",0.762,0.701,"G#",-3.541,"Major",0.0286,0.235,0.000158,0.123,0.742,110.968,"4/4",3M 29S
"299","Doja Cat","Like That (feat. Gucci Mane)",2,"4EivmOT13NMpNSfTKn9p4s",0.879,0.498,"E",-6.027,"Minor",0.18,0.239,0,0.0967,0.405,106.044,"4/4",2M 43S
"300","Doja Cat","Love to Dream",2,"6Q9IUoBTNLHgBib1FSFGbj",0.734,0.45,"F#",-7.075,"Major",0.0824,0.597,7.33e-06,0.0964,0.529,135.067,"4/4",3M 37S
"301","Doja Cat","Mooo!",1,"043dDJ9u0PQ3ooAXMgcwOe",0.869,0.532,"G",-7.186,"Major",0.23,0.517,0,0.103,0.509,89.004,"4/4",4M 45S
"302","Doja Cat","Naked",3,"0CsR9Y9SnC6ZWmekmVqSHz",0.733,0.862,"G",-5.736,"Major",0.197,0.374,0.00247,0.131,0.536,111.076,"4/4",3M 44S
"303","Doja Cat","Need to Know",7,"3Vi5XqYrmQgOYBajMWSvCi",0.664,0.609,"C#",-6.509,"Major",0.0707,0.304,0,0.0926,0.194,130.041,"4/4",3M 31S
"304","Doja Cat","Rules",5,"1TMWcbxL5YF8rKsFHv5hAP",0.651,0.724,"G",-5.457,"Major",0.166,0.172,0,0.13,0.686,144.146,"4/4",3M 7S
"305","Doja Cat","Say So",4,"3Dv1eDb0MEgF93GpLXlucZ",0.787,0.673,"B",-4.583,"Minor",0.159,0.264,3.35e-06,0.0904,0.779,110.962,"4/4",3M 58S
"306","Doja Cat","Say So (feat. Nicki Minaj)",7,"11VApNQCWLJdzxWrlmwzUa",0.856,0.641,"B",-4.64,"Minor",0.204,0.119,4.97e-06,0.427,0.745,111.004,"4/4",3M 26S
"307","Doja Cat","Say So (feat. Nicki Minaj) - Original Version",8,"1taiFk3Go0bQ1Wb5dhWAI3",0.818,0.689,"B",-4.45,"Minor",0.173,0.225,1.02e-05,0.371,0.781,111.026,"4/4",3M 27S
"308","Doja Cat","Say So / Like That (Mashup)",6,"4jBktGfTrKpGkPHV3PLaA0",0.61,0.761,"B",-4.086,"Minor",0.156,0.107,0,0.128,0.575,109.715,"4/4",3M 33S
"309","Doja Cat","Streets",9,"60ynsPSSKe6O3sfwRnIBRf",0.749,0.463,"B",-8.433,"Major",0.0842,0.21,0.0382,0.338,0.189,90.035,"4/4",3M 47S
"310","Doja Cat","Talk Dirty",1,"1j6NZFHrpc09YmEZuSlmwf",0.603,0.741,"C#",-5.58,"Major",0.12,0.276,0.000227,0.104,0.403,168.006,"4/4",4M 1S
"311","Doja Cat","Tia Tamera (feat. Rico Nasty)",11,"1uNePI826aqh9uC9pgbeHU",0.822,0.654,"C",-4.623,"Major",0.132,0.019,0,0.233,0.421,119.884,"4/4",3M 31S
"312","Doja Cat","Woman",15,"6Uj1ctrBOjOas8xZXGqKk4",0.824,0.764,"F",-4.175,"Minor",0.0854,0.0888,0.00294,0.117,0.881,107.998,"4/4",2M 53S
"313","Doja Cat","Won't Bite (feat. Smino)",3,"7k51pIqTGEHHZOnpI11Qq2",0.807,0.783,"F",-3.115,"Major",0.0964,0.351,0,0.14,0.592,127.996,"4/4",3M 15S
"314","Doja Cat","You Right",4,"0k4d5YPDr1r7FX77VdqWez",0.828,0.621,"G#",-6.414,"Major",0.0565,0.0164,0.00233,0.0845,0.436,128.986,"4/4",3M 6S
"315","Dominic Fike","Come Here",1,"3Wgs96Z4TdCpnqFj2CxpsI",0.497,0.789,"F#",-0.947,"Major",0.0809,0.0021,0.000528,0.28,0.459,81.154,"4/4",1M 18S
"316","Dominic Fike","Westcoast Collective",1,"582ndoUAn4YIN30NUnK6S2",0.682,0.571,"C#",-7.169,"Minor",0.0271,0.542,0.00757,0.339,0.539,91.97,"4/4",1M 47S
"317","Dominic Fike","Why",1,"1xLs8Mu1QEVbGCpyHQ2r2U",0.684,0.856,"F#",-2.676,"Major",0.0411,0.342,0.00728,0.109,0.343,117.027,"4/4",2M 20S
"318","Don Diablo","Brave",1,"0GRoERSBBky3YgdKW2w2Vc",0.654,0.874,"F#",-3.885,"Major",0.0543,0.169,1.77e-06,0.134,0.542,119.85,"4/4",3M 4S
"319","Donna Summer","Last Dance",5,"29RcVe2M9l8rHyWHffBmjf",0.341,0.721,"D#",-10.311,"Major",0.0801,0.131,0.00029,0.216,0.237,126.351,"4/4",3M 20S
"320","Dorian Electra","Mind Body Problem",4,"62LD4tURgU4YBhGTDShvxp",0.639,0.522,"G",-8.239,"Minor",0.0297,0.465,0.00316,0.14,0.582,101.97,"4/4",3M 46S
"321","Dove Cameron","LazyBaby",3,"4jjI9eHfSHtsmacfjeZvhc",0.764,0.785,"E",-3.528,"Major",0.033,0.0303,0,0.315,0.974,113.019,"4/4",2M 41S
"322","DSL","POOF",1,"3WocjH8HgPMUx2UtJzjU8J",0.939,0.37,"D",-7.605,"Major",0.211,0.000895,0.00255,0.127,0.137,126.013,"4/4",1M 48S
"323","Dua Lipa","Break My Heart",2,"017PF4Q3l4DBUiWoXk4OWT",0.73,0.729,"E",-3.434,"Minor",0.0884,0.167,1.39e-06,0.349,0.467,113.011,"4/4",3M 42S
"324","Dua Lipa","Don't Start Now",3,"6WrI0LAC5M1Rw2MnX2ZvEg",0.794,0.793,"B",-4.521,"Minor",0.0842,0.0125,0,0.0952,0.677,123.941,"4/4",3M 3S
"325","Dua Lipa","Hallucinate",5,"1nYeVF5vIBxMxfPoL0SIWg",0.627,0.69,"A#",-5.396,"Minor",0.139,0.033,0,0.0742,0.627,122.053,"4/4",3M 29S
"326","Dua Lipa","Levitating",1,"463CkQjx2Zk1yXoBuierM9",0.702,0.825,"F#",-3.787,"Minor",0.0601,0.00883,0,0.0674,0.915,102.977,"4/4",3M 23S
"327","Dua Lipa","Levitating (feat. DaBaby)",2,"463CkQjx2Zk1yXoBuierM9",0.702,0.825,"F#",-3.787,"Minor",0.0601,0.00883,0,0.0674,0.915,102.977,"4/4",3M 23S
"328","Dua Lipa","That Kind of Woman",1,"4FuZofNMHdtsEdrsqwF3xR",0.64,0.665,"B",-4.966,"Minor",0.0325,0.0045,0,0.22,0.42,113.213,"4/4",3M 20S
"329","dua saleh","umbrellar",1,"00PXRPuZFlM5dv1FeJa69J",0.293,0.85,"C#",-6.05,"Major",0.066,0.557,0.0304,0.234,0.367,129.634,"4/4",2M 36S
"330","Duckwrth","Money Dance",1,"2WepYrq6xOaUBosjWVsA3w",0.87,0.556,"A",-8.061,"Minor",0.0458,0.161,0.000117,0.195,0.664,142.005,"4/4",2M 29S
"331","Earth, Wind & Fire","September",2,"2grjqo0Frpf2okIBiifQKs",0.697,0.832,"A",-7.264,"Major",0.0298,0.168,0.00131,0.269,0.979,125.926,"4/4",3M 35S
"332","Easha","Far Away",21,"0Y4xg5612xZ3vAgWEkMjw3",0.768,0.519,"F",-8.494,"Major",0.0739,0.402,0,0.183,0.452,112.973,"4/4",3M 5S
"333","Ed Sheeran","Shivers",1,"75MNhvTCCKsST3YqqUiU9r",0.788,0.859,"D",-2.724,"Major",0.0856,0.281,0,0.0424,0.822,141.02,"4/4",3M 28S
"334","Eimizah","Divine Feminine",1,"42O4jjMIIqCPkbA5JpMCIe",0.468,0.589,"B",-7.466,"Minor",0.102,0.0919,0,0.103,0.35,90.122,"4/4",3M 16S
"335","Ella Mai","Whatchamacallit (feat. Chris Brown)",2,"1YLfaRr3QIW1fF3nvDO0gX",0.656,0.616,"F",-4.668,"Major",0.0392,0.17,0,0.219,0.269,98.871,"4/4",2M 59S
"336","Ella Vos","White Noise",1,"7dpnZJj7ITXcnmbmLIdEqs",0.579,0.578,"D#",-5.361,"Major",0.0283,0.0304,0.000229,0.1,0.356,78.582,"4/4",3M 16S
"337","Elliot Lee","Drama Queen",2,"3p1COnZ1zXd9ZHvyArfdTw",0.762,0.37,"G",-8.658,"Minor",0.0568,0.0918,0,0.0672,0.314,129.956,"4/4",2M 51S
"338","Ellise","Lilith",5,"5R02FHwbNL2R3sz4LKoeve",0.812,0.354,"D",-8.609,"Minor",0.0648,0.517,0,0.16,0.223,100.038,"4/4",2M 58S
"339","Emily Burns","Vanilla Sundae",1,"40ylYARSU3OlRwJXbTxQTK",0.52,0.342,"E",-9.148,"Major",0.167,0.893,1.31e-06,0.0994,0.62,71.506,"4/4",3M 30S
"340","Emm","Psycho",1,"6GNOZzjxSYbuQdxW4171g6",0.876,0.293,"F",-10.662,"Minor",0.127,0.538,1.94e-05,0.0672,0.83,116.002,"4/4",3M 23S
"341","Erica Banks","Buss It",2,"25j0Sape7qZbq6ZPLFefTT",0.956,0.502,"A",-5.995,"Major",0.213,0.0593,0,0.238,0.795,110.003,"4/4",3M 7S
"342","Erika Costell","Thots Not Feelings",1,"3MYwEYukFEPkQH2ITIlwvN",0.807,0.421,"C",-8.087,"Major",0.0482,0.0985,0,0.164,0.527,127.028,"4/4",2M 28S
"343","Etham","12:45 - Stripped",2,"4edtsBlaX23OPYmhA4R0GP",0.459,0.214,"F",-10.66,"Major",0.0403,0.634,0,0.125,0.397,163.816,"4/4",2M 59S
"344","Evann McIntosh","WIYULD",1,"4nV1MfDLKK50nBSaEjtDzZ",0.647,0.444,"B",-11.899,"Major",0.213,0.204,0,0.109,0.311,140.138,"4/4",2M 20S
"345","Fergie","Big Girls Don't Cry (Personal)",2,"3Q4WeJmzxuDpzMu9QjQqbM",0.708,0.641,"G",-4.296,"Major",0.0335,0.205,0,0.0945,0.253,113.082,"4/4",4M 28S
"346","Fergie","Fergalicious",1,"1D066zixBwqFYqBhKgdPzp",0.906,0.584,"G#",-7.72,"Minor",0.316,0.0576,0,0.128,0.831,129.055,"4/4",4M 52S
"347","Fergie","Glamorous",1,"4KTtYhxFtFL7mBwnjkKfLm",0.81,0.755,"C",-6.408,"Major",0.201,0.288,0,0.0857,0.623,130.99,"4/4",4M 7S
"348","Fickle Friends","Pretty Great",1,"5OEh0t74eilX1HnfVy9E4g",0.802,0.529,"C#",-6.044,"Major",0.0425,0.333,0.000469,0.23,0.959,130.045,"4/4",3M 33S
"349","FINNEAS","A Concert Six Months From Now",1,"7aDIsG4RJx4THcSEMeM01x",0.536,0.233,"G",-10.272,"Major",0.0583,0.715,0,0.132,0.266,138.756,"3/4",3M 25S
"350","FINNEAS","Break My Heart Again",1,"7gGBgh0bVxHPgZjA505bo9",0.402,0.151,"E",-14.228,"Minor",0.04,0.907,0,0.0941,0.489,144.069,"4/4",3M 58S
"351","Fjord","I Get It Now",2,"7AMD00woWOazJ2npdCTSbm",0.4,0.527,"F",-11.508,"Minor",0.0386,0.0314,0.00215,0.086,0.312,68.352,"4/4",3M 28S
"352","FKA twigs","cellophane",3,"7x8pIrhMu9FCmqqHNyuH0P",0.431,0.284,"D",-11.858,"Major",0.0432,0.871,0.000136,0.0899,0.229,98.317,"1/4",3M 24S
"353","FKA twigs","mary magdalene",8,"77tQQM8iEswfiSVLbTrFPX",0.391,0.444,"C#",-13.137,"Minor",0.119,0.488,3.26e-05,0.111,0.159,171.831,"5/4",5M 21S
"354","Fletcher","girls girls girls",1,"6eutgX6jfXAsjTXgQtCtYV",0.649,0.478,"C",-8.834,"Major",0.156,0.658,0,0.131,0.468,139.859,"4/4",2M 41S
"355","Fletcher","Healing",2,"2jgq1RlYLt4FZldm4KAfj2",0.572,0.621,"D",-7.298,"Major",0.0336,0.543,2.19e-06,0.124,0.35,159.989,"4/4",3M 8S
"356","Flo Milli","May I",1,"1GcXzijYzyfMq6wryZjYW5",0.896,0.78,"C#",-3.547,"Major",0.202,0.0828,0,0.0857,0.85,106.032,"4/4",2M 43S
"357","Florence + the Machine","Delilah",2,"0fgSfUAnuJzzB8l8MdgRZg",0.426,0.87,"A",-3.821,"Minor",0.0621,0.096,0,0.112,0.414,169.946,"4/4",4M 53S
"358","Florence + the Machine","Dog Days Are Over",1,"1YLJVmuzeM2YSUkCCaTNUB",0.492,0.81,"G",-5.315,"Major",0.0847,0.0416,0.00379,0.117,0.245,149.954,"4/4",4M 12S
"359","Florence + the Machine","Girl With One Eye",5,"0UdBCetwMDQO7JIhi7Waik",0.359,0.527,"A",-6.371,"Minor",0.125,0.397,0,0.162,0.239,87.28,"3/4",3M 38S
"360","Florence + the Machine","Hunger",1,"6Ju28M6P8Y8sLjBgWjyUUD",0.729,0.675,"D",-5.62,"Minor",0.0415,0.53,0,0.0985,0.332,116.016,"4/4",3M 35S
"361","Florence + the Machine","Jenny of Oldstones (Game of Thrones)",1,"1u0THw5xaGd7sYzJEh48Lt",0.27,0.195,"C#",-10.653,"Minor",0.0797,0.931,9.73e-06,0.0949,0.171,46.489,"4/4",3M 9S
"362","Florence + the Machine","Kiss With a Fist",2,"0jv5OcbvTUHgO8FgHhya8b",0.367,0.801,"D",-5.396,"Major",0.137,0.0024,0.000273,0.0603,0.624,107.014,"4/4",2M 3S
"363","Florence + the Machine","No Light, No Light",1,"5nkYDYUSb1bvLJ4nP8CnQ1",0.429,0.755,"C",-5.662,"Major",0.052,0.0125,2.79e-05,0.444,0.162,131.914,"4/4",4M 35S
"364","Florence + the Machine","Seven Devils",1,"5qaLfqAUiqvsoL0l4T05Yx",0.368,0.781,"A",-5.6,"Minor",0.0379,0.00913,0.000308,0.0477,0.211,58.534,"4/4",5M 3S
"365","Florence + the Machine","Ship to Wreck",1,"20NEld0MhrR4Zpgrf9brq8",0.564,0.923,"A",-3.843,"Minor",0.0325,0.00147,0,0.277,0.587,141.991,"4/4",3M 55S
"366","Florence + the Machine","Sky Full of Song",1,"64fzn2ewOdSH57wrxTPGov",0.533,0.32,"G#",-8.819,"Major",0.0316,0.731,1.65e-05,0.154,0.291,98.036,"4/4",3M 46S
"367","Florence + the Machine","Spectrum (Say My Name) (Calvin Harris Remix)",2,"1c478uMN61yF2JOXXEtsdw",0.578,0.946,"B",-3.85,"Minor",0.0482,0.00225,0.00412,0.0966,0.588,126.092,"4/4",3M 38S
"368","Florence + the Machine","What Kind of Man",2,"1w9ta1CvXlJPRXh6Py2Mto",0.313,0.635,"B",-4.676,"Minor",0.0431,0.0229,0,0.129,0.224,114.776,"4/4",3M 36S
"369","Florence + the Machine","Which Witch - Demo / Bonus Track",3,"5yiBLMSH9DCRmBtws6wKY3",0.507,0.662,"E",-6.986,"Major",0.0492,0.00761,0,0.259,0.236,134.88,"4/4",4M 19S
"370","Florence + the Machine","You've Got the Love",4,"6u9RqxALwkjJ1ukB1y8vuP",0.574,0.704,"F#",-4.72,"Major",0.0319,0.00455,0,0.107,0.368,109.999,"4/4",2M 49S
"371","Fousheé","my slime",2,"2uly2KqqE2cL2fzxyMKnC6",0.576,0.329,"D#",-12.454,"Minor",0.0511,0.595,0,0.236,0.312,81.69,"3/4",3M 8S
"372","Foxes","Love Not Loving You",2,"1VSsfA5Z37dSNPqiK5dxmM",0.638,0.951,"A#",-2.985,"Major",0.109,0.00321,0.000126,0.0629,0.487,121.049,"4/4",3M 34S
"373","Frances Forever","Space Girl",1,"7FjIYiD53wxlQmzTT6Wdpf",0.67,0.399,"A",-9.137,"Major",0.0306,0.32,0.000126,0.38,0.211,125.981,"4/4",3M 51S
"374","Fromm","Hold Me Like It’s Forever",1,"6QZJTunvjAU44kpXzDNXzn",0.583,0.488,"E",-5.741,"Minor",0.0281,0.808,1.57e-06,0.15,0.438,92.05,"4/4",3M 3S
"375","Future","You Da Baddest (feat. Nicki Minaj)",1,"4AFgK4wP1iD5i8BYaLr9Vf",0.807,0.736,"G",-6.748,"Major",0.151,0.109,0.00729,0.104,0.54,154.023,"4/4",4M 3S
"376","Gabrielle Aplin","My Mistake",1,"60wxK3idlzc3lykP8cYZ2l",0.47,0.271,"F#",-7.636,"Major",0.0342,0.799,0,0.119,0.0943,145.902,"4/4",4M 25S
"377","Gabrielle Aplin","Waking up Slow - Piano Version",1,"4NkIYlfobkqS2hALHTIUV9",0.641,0.264,"F#",-6.97,"Major",0.0364,0.923,0,0.0983,0.357,101.18,"4/4",3M 41S
"378","Gavin Turek","WHITNEY",1,"4jtQIxAFShRYeWBL8AHilJ",0.881,0.483,"A#",-6.243,"Major",0.0418,0.0961,5.57e-06,0.0784,0.786,122.974,"4/4",2M 53S
"379","GFRIEND","MAGO",5,"46WaBBaEHzgbN88Ew0nh50",0.621,0.821,"F#",-3.662,"Minor",0.0364,0.00548,0.000578,0.142,0.646,120.062,"4/4",3M 19S
"380","girl in red",".",1,"1BYZxKSf0aTxp8ZFoeyM3d",0.566,0.366,"G",-12.808,"Major",0.028,0.113,0.181,0.155,0.237,129.959,"4/4",3M 4S
"381","girl in red","Serotonin",11,"1q2Zb0v5ZGxKDktEz7wSPb",0.58,0.788,"D",-4.714,"Major",0.259,0.0123,1.84e-05,0.368,0.72,148.992,"4/4",3M 2S
"382","GIRLI","More Than a Friend",2,"5TIyFlLF0EfYOUZH1TYxBq",0.689,0.594,"C",-7.645,"Major",0.0584,0.0301,0,0.102,0.653,137.112,"4/4",2M 56S
"383","GIRLI","Not That Girl",1,"0K3yTrwwypORX4m8tuWrwJ",0.827,0.546,"C",-6.287,"Major",0.0642,0.0564,6.28e-06,0.107,0.463,93.062,"4/4",2M 53S
"384","Giveon","HEARTBREAK ANNIVERSARY",4,"3FAJ6O0NOHQV8Mc5Ri6ENp",0.449,0.465,"C",-8.964,"Major",0.0791,0.524,1.02e-06,0.303,0.543,89.087,"3/4",3M 18S
"385","Glass Animals","Heat Waves",1,"3USxtqRwSYz57Ewm6wWRMp",0.761,0.525,"B",-6.9,"Major",0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"4/4",3M 59S
"386","Glee Cast","Le Jazz Hot",1,"7hrWWPJZaKuldiXhfzjoMv",0.466,0.505,"A#",-7.27,"Major",0.0822,0.401,0,0.188,0.271,92.356,"4/4",4M 23S
"387","Goldie Boutilier","Very Best",1,"6llTVSQs50z76d8JBRTKaM",0.783,0.665,"G#",-6.642,"Major",0.0451,0.0338,1.48e-05,0.395,0.696,122.995,"4/4",4M 52S
"388","GoldLink","Raindrops (feat. Flo Milli)",2,"6XBkVK0XMeSkXyG6lN2QDk",0.882,0.572,"A",-7.367,"Minor",0.172,0.517,1.67e-05,0.157,0.592,139.955,"4/4",2M 34S
"389","Goodie Bag","Strawberry Shortcake",1,"1laalf0THR0WmH8DxVPxzf",0.718,0.356,"C#",-12.811,"Minor",0.0303,0.376,0.000756,0.13,0.605,114.943,"4/4",5M 4S
"390","Grace VanderWaal","Don't Assume What You Don't Know",1,"5ir1QKCH1OamaVRa4fN9wt",0.729,0.487,"A",-5.626,"Minor",0.123,0.155,0,0.121,0.623,169.844,"4/4",2M 36S
"391","Grace VanderWaal","Repeat",2,"49N82r3hOa5WdyeAZjV56k",0.759,0.489,"B",-7.066,"Minor",0.0496,0.0336,0.00219,0.099,0.632,120.075,"4/4",2M 20S
"392","Gracie Abrams","21",1,"5meVa5klVlJalupZTvv5XX",0.759,0.665,"D",-6.338,"Major",0.0861,0.494,0,0.109,0.391,125.056,"4/4",3M 5S
"393","Greta Isaac","FU",1,"2F37All4Cmeteqm0aTc1gC",0.644,0.145,"B",-13.632,"Minor",0.0396,0.827,0,0.231,0.334,83.929,"4/4",2M 54S
"394","Grimes","4ÆM",3,"4keclC0eBhQm8lFtYmX01K",0.482,0.905,"G",-4.371,"Minor",0.0418,0.00971,0.29,0.288,0.116,93.017,"4/4",4M 31S
"395","Gwen Stefani","Bubble Pop Electric",1,"2bx879t8gUpxkQ0avl8xTf",0.566,0.976,"C#",-3.866,"Major",0.262,0.000527,0.00265,0.114,0.354,193.979,"4/4",3M 42S
"396","Gwen Stefani","Rich Girl",12,"2Y2q7PkD7lvuWr8YaZfWuv",0.856,0.754,"G",-2.728,"Minor",0.0416,0.0294,1.49e-05,0.206,0.722,98.018,"4/4",3M 56S
"397","H.E.R.","Comfortable",2,"3f3cliOygeuUpGRwdohy12",0.429,0.4,"F",-11.679,"Minor",0.0882,0.629,3.25e-05,0.087,0.357,72.487,"4/4",4M 15S
"398","H.E.R.","Paradise (feat. Yung Bleu)",1,"2xc1rXfo3Yn20n7wIzmjeu",0.588,0.563,"D#",-6.716,"Minor",0.0713,0.446,0,0.136,0.26,86.073,"4/4",2M 37S
"399","Halsey","Girl Is a Gun",1,"5sTsbKMuBuIZoGHfoFXdwU",0.639,0.873,"F#",-4.64,"Minor",0.0395,0.00478,1.16e-05,0.125,0.704,150.01,"4/4",2M 27S
"400","Halsey","Sorry",8,"44n97yHySt0Z9rqPaXgjCK",0.513,0.25,"F",-9.376,"Minor",0.0367,0.913,0,0.117,0.351,74.103,"4/4",3M 41S
"401","Halsey","Walls Could Talk",1,"5ln5yQdUywVbf8HhFsOcd6",0.626,0.423,"C#",-6.035,"Major",0.0513,0.128,0,0.18,0.571,95.162,"4/4",1M 42S
"402","Halsey","Ya'aburnee",1,"6PkHFPxrvlXXVnJTONwsjc",0.717,0.184,"G",-13.578,"Major",0.0417,0.742,1.01e-05,0.0968,0.21,131.938,"4/4",3M 8S
"403","Halsey","You Asked for This",1,"1JbS3r3gT4pK5qWBEShIJU",0.303,0.812,"B",-4.95,"Minor",0.0557,0.0115,0,0.371,0.168,139.052,"4/4",4M 26S
"404","Halsey","You should be sad",1,"7lidXGPXPYLNThITAOTlkK",0.591,0.585,"D",-6.35,"Major",0.0277,0.143,0,0.109,0.324,110.94,"4/4",3M 25S
"405","Hannah Diamond","Concrete Angel",1,"33om1peLEWLBZimmmjpfxH",0.478,0.54,"G",-6.741,"Major",0.271,0.137,0.00275,0.0703,0.178,169.985,"4/4",4M 59S
"406","Harloe","Crush On You - LaTroit & Pretty Garter Remix",2,"2vcggM7o8TmMWjx2OwIfKe",0.754,0.608,"C#",-5.283,"Major",0.0322,0.00357,3.65e-06,0.0808,0.728,117.97,"4/4",3M 48S
"407","Harry Styles","She",1,"6SQLk9HSNketfgs2AyIiMs",0.535,0.521,"C",-5.942,"Major",0.0272,0.000532,0.371,0.19,0.457,140.026,"3/4",6M 3S
"408","Hayley Kiyoko","Chance",1,"6I1Q5mSAvXveekghOaTUoR",0.635,0.612,"F#",-6.476,"Major",0.209,0.255,2.14e-05,0.125,0.439,155.978,"4/4",3M 21S
"409","Hayley Kiyoko","Demons",1,"0V93bON7wh29gDWYD1AAo5",0.845,0.641,"C#",-4.548,"Minor",0.0443,0.0346,0.00209,0.176,0.529,108.985,"4/4",3M 0S
"410","Hey Violet","Better By Myself",2,"77ixMBo91onYG37mAZiaUj",0.695,0.715,"F#",-6.675,"Minor",0.0528,0.0568,0.000221,0.0992,0.891,96.997,"4/4",3M 14S
"411","Hitoshizuku,Yama","Bad ∞ End ∞ Night",1,"6NOVN6EGoqaKqqa3EwHa09",0.503,0.781,"C#",-3.644,"Major",0.0554,0.0497,0.000723,0.0577,0.58,203.757,"4/4",4M 8S
"412","Holiday Sidewinder","Kokomo",1,"7gnZVVejORQlCOv64q8zJh",0.728,0.725,"D#",-7.372,"Major",0.0316,0.0956,0.000105,0.542,0.949,119.971,"4/4",3M 29S
"413","Hope Tala","All My Girls Like To Fight",1,"6rCuplMDiFQVSca77OQocz",0.853,0.698,"E",-4.187,"Minor",0.0447,0.258,0.0127,0.193,0.531,122.009,"4/4",3M 53S
"414","Hoppipolla","Let's!",2,"6qhAqOY2k6bomELZkqCCuj",0.653,0.817,"G",-3.589,"Major",0.0791,0.329,5.39e-05,0.115,0.518,100.021,"4/4",3M 15S
"415","Hunter Foster","Suddenly Seymour",1,"41J1DXb77mOmXT0iUyq41I",0.366,0.404,"A",-7.947,"Major",0.041,0.664,0,0.0733,0.341,99.009,"4/4",3M 38S
"416","Hwa Sa","Orbit",2,"0m1f9KaRUnRBYSEkAH7pdj",0.482,0.656,"C",-4.554,"Minor",0.0399,0.499,0.000124,0.338,0.312,138.099,"4/4",3M 6S
"417","HyunA&DAWN","PING PONG",1,"0Z99Xe1lGBmq60RwJ5YU18",0.855,0.87,"A#",-2.059,"Minor",0.0826,0.0122,0.000675,0.0202,0.863,103.028,"4/4",2M 38S
"418","Iggy Azalea","Dance Like Nobody's Watching",12,"1rwSZ2WvPoGArYIByVSEGW",0.89,0.795,"C",-2.658,"Major",0.212,0.0149,1.67e-06,0.0556,0.854,106.953,"4/4",3M 2S
"419","Iggy Azalea","Lola",11,"6hkr5ZGVOt3Z2BNGE6yqpB",0.774,0.573,"A#",-9.098,"Major",0.14,0.0132,0,0.145,0.4,141.885,"4/4",3M 52S
"420","Iggy Azalea","Sally Walker",1,"1bPoQ1zaUWZmiYrckwfulU",0.905,0.492,"G#",-8.953,"Minor",0.0936,0.0177,0,0.0994,0.605,140.076,"4/4",2M 59S
"421","Iggy Azalea","Sip It",1,"1WJhQBhJGuDxp5LR2os4Za",0.948,0.627,"C#",-6.11,"Major",0.106,0.00936,1.35e-05,0.0743,0.417,129.995,"4/4",3M 16S
"422","Iggy Azalea","Started",3,"4NOFSrIM6LhBl2MyKvFVtp",0.861,0.693,"B",-6.052,"Minor",0.313,0.082,0,0.07,0.772,165.036,"4/4",3M 7S
"423","Imagine Dragons","Follow You",1,"7FdUvDkaE24o3FPIWTvzv2",0.542,0.732,"A",-5.956,"Major",0.0521,0.00209,7.92e-05,0.496,0.489,124.912,"4/4",2M 56S
