"danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_s","liked","mode_major","time_signature_0/4","time_signature_1/4","time_signature_3/4","time_signature_4/4","time_signature_5/4","key_A","key_A#","key_B","key_C","key_C#","key_D","key_D#","key_E","key_F","key_F#","key_G","key_G#"
0.592,0.584,-6.232,0.0893,0.158,2.63e-06,0.132,0.447,88.073,246,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.717,0.698,-6.26,0.0719,0.0356,3.22e-06,0.366,0.391,133.032,251,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.895,0.564,-7.261,0.502,0.734,1.25e-06,0.718,0.366,129.97,252,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.834,0.526,-5.209,0.486,0.00914,0,0.12,0.259,179.945,149,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.617,0.779,-5.084,0.287,0.201,0,0.117,0.887,83.332,226,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.793,0.399,-7.428,0.0951,0.12,0,0.124,0.0379,121.949,227,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.885,0.52,-8.353,0.359,0.000244,1.16e-06,0.454,0.306,84.022,149,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.879,0.41,-9.233,0.551,0.000897,2.09e-05,0.108,0.0703,80.011,288,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.837,0.636,-7.643,0.086,0.0395,0.00125,0.342,0.274,145.972,289,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.924,0.567,-5.009,0.0961,0.00169,0,0.0898,0.827,146.976,212,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.713,0.62,-4.513,0.0422,0.171,1.16e-06,0.118,0.206,130.09,212,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.84,0.543,-7.738,0.476,0.0399,0,0.117,0.161,170.067,172,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.892,0.633,-7.471,0.0902,0.0467,0.000189,0.139,0.459,137.994,195,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.884,0.346,-8.228,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,220,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.697,0.709,-6.642,0.298,0.041,0.000296,0.0886,0.439,155.023,202,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.904,0.575,-7.823,0.346,0.0493,0,0.256,0.359,141.037,178,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.872,0.591,-6.952,0.359,0.111,0,0.144,0.696,131.982,205,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.799,0.381,-7.147,0.464,0.354,3.12e-06,0.135,0.0488,158.021,160,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.754,0.817,-5.283,0.254,0.073,0,0.379,0.269,142.783,177,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.779,0.597,-9.652,0.434,0.723,4.47e-05,0.0508,0.646,173.986,234,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.782,0.436,-7.033,0.155,0.331,1.3e-05,0.342,0.243,82.994,269,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.847,0.733,-6.439,0.16,0.00574,1.04e-05,0.151,0.202,130.029,194,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.966,0.519,-5.682,0.306,0.00359,0,0.254,0.119,122.195,242,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.809,0.461,-5.677,0.0907,0.000832,4.43e-05,0.143,0.325,85.992,167,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.741,0.87,-3.494,0.503,0.00813,0,0.114,0.663,184.194,255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.427,0.473,-11.104,0.15,0.312,0.369,0.527,0.654,80.972,70,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.864,0.608,-10.567,0.275,0.0531,1.2e-05,0.078,0.963,80.225,195,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0.9,0.365,-6.395,0.235,0.147,0.185,0.179,0.136,135.003,203,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.635,0.793,-4.333,0.0322,0.000647,0.747,0.113,0.281,77.594,202,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.89,0.607,-6.916,0.124,0.158,0.000228,0.118,0.224,134.022,233,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.647,0.667,-5.563,0.304,0.231,0,0.133,0.704,172.08,194,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.862,0.274,-5.818,0.484,0.0974,0.185,0.183,0.146,77.493,149,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.831,0.532,-5.319,0.301,0.0652,0,0.464,0.364,140.105,182,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.906,0.444,-8.692,0.384,0.136,6.44e-05,0.173,0.678,140.063,235,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.823,0.703,-2.691,0.298,0.0161,1.35e-06,0.294,0.26,178.043,194,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0.743,0.467,-10.354,0.401,0.145,1.15e-06,0.0891,0.19,150.004,219,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0.593,0.632,-5.381,0.541,0.0133,0,0.64,0.0789,173.369,235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
